hourday,pedestriancount
0,93.06746353322528
1,57.52838163261963
2,36.86456032194537
3,28.121957667295256
4,20.991892361111113
5,30.928053053053052
6,83.15695635088127
7,192.55575928136903
8,412.0562379439464
9,384.8585951678766
10,427.41089894325296
11,530.7758081187081
12,734.695143350409
13,748.7393338058115
14,679.3185748826625
15,682.269310084906
16,732.5100792397536
17,812.6966426517072
18,658.1014492753624
19,523.4089112364122
20,429.9934446904926
21,366.7172961341545
22,286.2131476472162
23,177.46125050738908
