feature_name,theme,sub_theme,broad_category,is_sensory_refuge,in_cbd,latitude,longitude
Railway Good Shed No 2,Vacant Land,Current Construction Site - Commercial,Other,False,False,-37.8211371302179,144.951378883631
Parliament Railway Station,Transport,Railway Station,Transport,False,True,-37.8116061787171,144.973017263156
North Melbourne Recreation Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.7988345257153,144.941452061463
Princes Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.7870161727156,144.961115214367
Donor Tissue Bank of Victoria,Office,Office,Retail / Commercial,False,True,-37.8248231859563,144.965169035668
Melbourne Central Railway Station,Transport,Railway Station,Transport,False,True,-37.8100167030855,144.963789344893
Argyle Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8031480577285,144.965761295089
Westpac Centre,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,True,-37.8242456858593,144.979720306309
Melbourne Girls Grammar School,Education Centre,School - Primary and Secondary Education,Education,True,False,-37.8315364518803,144.985089428348
Mercy Private Hospital,Health Services,Medical Services,Health Services,True,False,-37.811896809802,144.984435746587
Carlton Football Club,Leisure/Recreation,Major Sports & Recreation Facility,Parks & Open Space,True,False,-37.7840864379557,144.961967841559
Carlton Gardens Primary School,Education Centre,Primary Schools,Education,True,False,-37.8020953835112,144.969406272035
Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8255239795833,144.974107925144
Melbourne Grammar School,Education Centre,Secondary Schools,Education,True,False,-37.8342561018747,144.976285045233
Southgate Arts and Leisure Precinct,Mixed Use,Retail/Office/Carpark,Parks & Open Space,False,True,-37.8202245786597,144.965989052839
Australian Centre for Contemporary Art,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8266045432686,144.967252924593
SBS (Special Broadcasting Service),Office,Office,Retail / Commercial,False,True,-37.8176921210305,144.968740597156
Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,True,-37.8178516571684,144.968963600783
Royal Womens Hospital,Health Services,Public Hospital,Health Services,True,False,-37.7988892460088,144.954897253856
South Kensington Railway Station,Transport,Railway Station,Transport,False,False,-37.7997270537735,144.925837749713
National Sports Museum,Place Of Assembly,Art Gallery/Museum,Arts & Culture,True,False,-37.8189544909462,144.984669809381
Flagstaff Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8111222889277,144.954696055235
North Melbourne Primary School,Education Centre,Primary Schools,Education,True,False,-37.7986737155551,144.951065772876
Westgate Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8314918578874,144.908824792698
St Mary's Anglican Church,Place of Worship,Church,Places of Worship,True,False,-37.8031663672997,144.953761537074
Flagstaff Railway Station,Transport,Railway Station,Transport,False,True,-37.8122356514626,144.956318211113
Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.7878473341234,144.922972125346
J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.7982358832177,144.923837074813
Royal Childrens Hospital,Health Services,Public Hospital,Health Services,True,False,-37.7942060847278,144.950048264678
Riverside Park,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Parks & Open Space,True,False,-37.7948375315825,144.915607065132
Fitzroy Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Parks & Open Space,True,False,-37.8129616331579,144.980455714669
Peter Maccallum Cancer Institute,Health Services,Public Hospital,Health Services,True,True,-37.8114766732026,144.977400949063
The Melbourne Athenaeum Library,Place Of Assembly,Library,Other,True,True,-37.8148855756416,144.967291289941
Romanian Orthodox,Place of Worship,Church,Places of Worship,True,True,-37.8052307297468,144.966986444597
St Michaels,Place of Worship,Church,Places of Worship,True,False,-37.7940512679297,144.945399480629
Ukranian Catholic Cathedral,Place of Worship,Church,Places of Worship,True,False,-37.7963084580345,144.944313454028
