location_id,sensor_name,sensor_description,installation_date,year_installed,sensor_age_years,status,status_label,is_active,location_type,direction_1,direction_2,directions,latitude,longitude,in_cbd,note,has_note
3,Swa295_T,Melbourne Central,2009-03-25,2009.0,17.360711841204655,A,Active,True,Outdoor,North,South,North / South,-37.81101524,144.96429485,True,,False
5,PriNW_T,Princes Bridge,2009-03-26,2009.0,17.357973990417523,A,Active,True,Outdoor,North,South,North / South,-37.81874249,144.96787656,True,Replace with: 00:6e:02:01:9e:54,True
14,SanBri_T,Sandridge Bridge,2009-03-24,2009.0,17.363449691991786,A,Active,True,Outdoor,North,South,North / South,-37.82011242,144.96291897,True,Sensor relocated to sensor ID 25 on 2/10/2019,True
18,Col12_T,Collins Place (North),2009-03-30,2009.0,17.347022587268995,A,Active,True,Outdoor,East,West,East / West,-37.81344862,144.97305353,True,,False
19,LtB210_T,Chinatown-Swanston St (North),2013-09-02,2013.0,12.919917864476385,A,Active,True,Outdoor,East,West,East / West,-37.81237202,144.96550671,True,"Pushbox Upgrade, 20/07/2023",True
20,LtB170_T,Chinatown-Lt Bourke St (South),2013-09-06,2013.0,12.908966461327857,A,Active,True,Outdoor,East,West,East / West,-37.81172914,144.9682466,True,"Pushbox Upgrade, 20/07/2023",True
27,Vic_T,QV Market-Peel St,2013-08-16,2013.0,12.966461327857632,A,Active,True,Outdoor,East,West,East / West,-37.80606888,144.95644692,True,,False
35,SouthB_T,Southbank Promenade,2016-04-11,2016.0,10.313483915126625,A,Active,True,Outdoor,East,West,East / West,-37.82018685,144.96508508,True,Device replaced with two new sensors on 15-4-21,True
41,Swa31,Flinders La-Swanston St (West),2017-06-29,2017.0,9.097878165639973,A,Active,True,Outdoor,North,South,North / South,-37.81668634,144.96689733,True,,False
47,Eli250_T,Melbourne Central-Elizabeth St (East),2017-08-24,2017.0,8.944558521560575,A,Active,True,Outdoor,North,South,North / South,-37.81258467,144.9625775,True,"Pushbox Upgrade, 25/07/2023. Move to 250 Elizabeth Street from adjacent St. Francis Church at 266 Elizabeth.",True
48,QVMQ_T,QVM-Queen St (East),2017-10-02,2017.0,8.837782340862423,A,Active,True,Outdoor,East,West,East / West,-37.80631581,144.95866697,True,"Pushbox Upgrade, 03/07/2023",True
51,Fra118_T,QVM-Franklin St (North),2017-11-30,2017.0,8.676249144421629,A,Active,True,Outdoor,East,West,East / West,-37.80841815,144.95906316,True,"Pushbox Upgrade, 20/07/2023",True
52,Eli263_T,Elizabeth St-Lonsdale St (South),2017-07-31,2017.0,9.010266940451745,A,Active,True,Outdoor,East,West,East / West,-37.81252157,144.9619401,True,"Pushbox Upgrade, 25/07/2023",True
53,Col254_T,Collins Street (North),2015-09-23,2015.0,10.863791923340179,A,Active,True,Outdoor,East,West,East / West,-37.81564191,144.965499,True,,False
56,Lon364_T,Lonsdale St - Elizabeth St (North),2018-07-25,2018.0,8.02737850787132,A,Active,True,Outdoor,East,West,East / West,-37.81234775,144.96153311,True,Sensor device has been replaced,True
