day_name,hourday,mean,median,std,count
Tuesday,3,12.744240227802226,8.0,13.713266289339964,7726
Tuesday,4,12.862642169728783,8.0,13.882957374711836,8001
Wednesday,4,14.92149418248622,9.0,21.78134143279127,8165
Thursday,4,15.120137863121615,9.0,20.71770463085113,8124
Monday,4,16.047210300429185,9.0,19.49249657224234,8155
Thursday,3,16.27096529009374,9.0,31.144353981157558,7894
Tuesday,2,16.443830108067353,10.0,19.547232691649935,7958
Monday,3,16.482497156577782,10.0,20.542841082704825,7913
Wednesday,3,16.529753452949528,9.0,35.95170235358795,7747
Friday,4,18.32102203923468,11.0,21.881970511621617,8258
Monday,2,20.808125305922662,12.0,26.75075019903092,8172
Friday,3,20.849733217520786,12.0,25.427003708913603,8059
Wednesday,2,22.072709286509212,11.0,62.16992906548432,8087
Thursday,2,22.60703703703704,12.0,55.7935625302408,8100
Saturday,5,26.296208530805686,16.0,35.798170665242715,8862
Tuesday,1,26.352363853979654,16.0,29.72652191154174,8355
Friday,2,27.057263411693793,16.0,32.71124111646827,8295
Monday,5,29.490422289943403,16.0,35.90526727132598,9188
Saturday,4,29.833293527585383,17.0,42.377086053681346,8374
Tuesday,5,31.043018950119798,17.0,37.57335345755358,9182
Friday,5,31.62553879310345,17.0,45.07172589302952,9280
Wednesday,5,32.101502145922744,17.0,39.10450280471585,9320
Thursday,5,32.35504745470233,17.0,38.9130014103188,9272
Monday,1,32.55834998237161,19.0,41.41337910482935,8509
Sunday,5,33.48245018115942,18.0,41.68144840551953,8832
Thursday,1,36.494665259702195,19.0,95.39734594046455,8529
Sunday,4,38.66772263287575,21.0,45.358752743235904,8523
Wednesday,1,38.91763451054752,18.0,141.07320572144093,8438
Friday,1,43.256377988788465,25.0,51.86133868740113,8741
Tuesday,0,45.15204286671132,26.0,59.266719451703075,8958
Sunday,6,45.695741616951246,25.0,71.64165905662607,9722
Saturday,6,46.598827039818914,29.0,56.31615619987077,9719
Saturday,3,47.365686388469136,24.0,62.837491077300136,8603
Monday,0,56.89150787531666,33.0,70.04974166286597,9079
Sunday,3,60.77576997386067,30.0,73.91754174271195,8799
Wednesday,0,62.29807052561544,29.0,196.03295277712303,9018
Saturday,2,62.740657361548855,32.0,76.60438895623392,8884
Thursday,0,65.15609809986744,33.0,168.8885608219492,9052
Friday,0,72.75471081581527,42.0,88.33599922525293,9181
Sunday,2,79.59939319024609,38.0,96.6009853728056,8899
Monday,6,86.23077708567344,45.0,108.71530813747411,9793
Sunday,7,90.34072022160665,48.0,269.0274637468826,10108
Friday,6,90.98499290204826,51.0,109.67052637992403,9862
Monday,23,91.10903627387852,51.0,125.36343012395811,9318
Saturday,7,92.54731279290058,59.0,101.97297834589503,10029
Saturday,1,95.72437084649744,48.0,116.31817067501973,9179
Thursday,6,102.67635443037975,56.0,123.30401884888404,9875
Tuesday,6,103.37482276686247,55.0,127.09697884646641,9874
Wednesday,6,105.44646116406409,56.0,127.74927958064357,9862
Tuesday,23,119.67359490986215,59.0,237.72108928917947,9430
Sunday,1,120.32759362892811,58.0,147.39455176972993,9292
Sunday,23,124.32125884465097,64.0,197.08754419588413,9469
Wednesday,23,133.1494605458007,68.0,246.92200948870587,9454
Thursday,23,155.06409315011015,88.0,204.4157020704294,9533
Saturday,0,155.84879871863322,86.0,188.49228161499494,9365
Sunday,8,159.02814683594136,96.0,278.4265700617301,10161
Monday,22,172.067577509196,96.0,233.39012432221634,9515
Saturday,8,173.68849856107968,113.0,174.4957827723572,10077
Sunday,0,186.21975827640568,100.0,227.22621673598968,9515
Friday,7,193.54310943545985,113.0,211.2258588971849,10079
Sunday,22,206.7123216331632,108.0,303.5760835153793,9601
Monday,7,209.78207048018368,114.0,246.61149235371866,10017
Tuesday,22,210.02444885591893,116.0,327.93262909407605,9571
Wednesday,22,239.61776384535005,136.0,361.4539460909969,9570
Thursday,7,251.11924415713574,140.0,286.28021317611586,10055
Wednesday,7,254.93180458624127,139.0,292.2072415710404,10030
Tuesday,7,256.23171946602906,141.0,299.41319598992334,10038
Monday,21,267.74040773653945,147.0,360.4190417526885,9565
Sunday,9,278.12931798051375,173.0,331.85104838554287,10161
Thursday,22,282.17634854771785,165.0,357.6955006576573,9640
Friday,23,285.79196437817126,163.0,362.76326226721056,9657
Sunday,21,300.8157922077922,159.0,413.59862094005376,9625
Tuesday,21,304.32523715209004,174.0,405.9743434782066,9593
Saturday,9,304.5120983736612,193.0,311.3471169393104,10084
Saturday,23,326.49150787075394,183.0,405.41526227296606,9656
Monday,20,336.0388900350732,188.0,411.67929456076104,9694
Wednesday,21,337.8983650942414,200.0,422.61066293086253,9603
Sunday,20,368.559209178447,196.0,473.43012993388686,9762
Thursday,21,375.86471076093716,215.0,459.6120387608766,9646
Tuesday,20,376.4488706365503,221.0,462.196161679872,9740
Monday,9,382.3967873890053,234.0,374.5390947870491,10023
Friday,9,399.02864222001983,262.0,392.8309949279873,10090
Wednesday,20,401.80267489711935,244.0,470.45633707298987,9720
Monday,10,403.05309822673837,261.0,400.14448131635066,10038
Friday,8,413.5143763632758,254.5,438.93345309223525,10086
Monday,19,417.1848481750332,245.0,477.71230591042104,9781
Wednesday,10,419.4628378378378,276.0,407.3079087071768,10064
Tuesday,10,419.9475566150179,281.0,396.5489706880591,10068
Sunday,10,421.90249655985843,262.0,438.18912913784413,10174
Friday,22,428.70307978503513,254.0,521.6292332160398,9676
Wednesday,9,432.81854396972415,269.0,427.21727159621236,10041
Thursday,20,433.73313512405167,254.0,501.9753513808246,9754
Thursday,10,436.3524679710001,291.0,415.67794691487757,10069
Friday,10,441.7077471765405,291.0,429.6724625020941,10094
Tuesday,9,443.04302464228937,283.0,436.2380247836612,10064
Saturday,10,449.3531277882423,282.0,452.0762960056121,10087
Sunday,19,452.6909662374531,238.0,557.435180025029,9863
Thursday,9,455.32608047690013,286.0,449.2999275108738,10065
Monday,8,458.8406982543641,256.0,536.6375220457005,10025
Saturday,22,459.73097126377587,268.0,571.0563835659907,9709
Tuesday,19,464.12175241976564,285.0,520.4123713213962,9815
Monday,11,485.38692016723076,311.0,495.52685478887537,10046
Friday,21,487.55483271375465,268.0,595.8851614801205,9684
Saturday,21,490.6044058330748,270.0,624.8249730805712,9669
Wednesday,19,495.5833333333333,313.0,537.322962303201,9804
Tuesday,11,499.8358327539974,332.0,482.07431066623457,10069
Wednesday,11,506.03018867924527,334.5,497.29131401064063,10070
